"","analyte","community","n","min","max","median","mean","sd","gmean","gsd","sumcol"
"47","Mo","Hayden/Winkelman",88,0.113,17.9,1.67,2.74,3.26,1.6,2.92,"88: 2.74 (3.26); 1.67 [0.113 - 17.9]; 1.6 (2.92)"
"48","Mo","Tucson",307,0.0078,37.9,2.38,3.24,3.69,2.26,2.42,"307: 3.24 (3.69); 2.38 [0.0078 - 37.9]; 2.26 (2.42)"
"49","Ni","Dewey-Humboldt",53,0.0571,59.7,0.693,2.49,8.21,0.851,3.32,"53: 2.49 (8.21); 0.693 [0.0571 - 59.7]; 0.851 (3.32)"
"50","Ni","Globe/Miami",123,0.0841,466,0.762,8.62,46.6,1.13,4.42,"123: 8.62 (46.6); 0.762 [0.0841 - 466]; 1.13 (4.42)"
"51","Ni","Hayden/Winkelman",88,0.083,4.46,0.484,0.775,0.783,0.56,2.16,"88: 0.775 (0.783); 0.484 [0.083 - 4.46]; 0.56 (2.16)"
"52","Ni","Tucson",307,0.0611,17.4,0.775,1.35,1.95,0.836,2.45,"307: 1.35 (1.95); 0.775 [0.0611 - 17.4]; 0.836 (2.45)"
"53","Pb","Dewey-Humboldt",53,0.0142,3.74,0.212,0.714,0.908,0.321,3.79,"53: 0.714 (0.908); 0.212 [0.0142 - 3.74]; 0.321 (3.79)"
"54","Pb","Globe/Miami",123,0.0355,27.2,0.596,1.77,3.62,0.661,3.75,"123: 1.77 (3.62); 0.596 [0.0355 - 27.2]; 0.661 (3.75)"
"55","Pb","Hayden/Winkelman",88,0.0319,23.6,0.772,2.92,5.35,0.947,4.37,"88: 2.92 (5.35); 0.772 [0.0319 - 23.6]; 0.947 (4.37)"
"56","Pb","Tucson",307,0.013,350,0.625,4.24,25.6,0.744,4.4,"307: 4.24 (25.6); 0.625 [0.013 - 350]; 0.744 (4.4)"
"57","Sb","Dewey-Humboldt",53,0.106,2.56,0.401,0.471,0.379,0.385,1.85,"53: 0.471 (0.379); 0.401 [0.106 - 2.56]; 0.385 (1.85)"
"58","Sb","Globe/Miami",123,0.12,4.42,0.5,0.635,0.594,0.499,1.93,"123: 0.635 (0.594); 0.5 [0.12 - 4.42]; 0.499 (1.93)"
"59","Sb","Hayden/Winkelman",88,0.16,9.15,0.675,1.17,1.48,0.757,2.38,"88: 1.17 (1.48); 0.675 [0.16 - 9.15]; 0.757 (2.38)"
"60","Sb","Tucson",307,0.11,13.4,0.628,0.911,1.27,0.664,1.98,"307: 0.911 (1.27); 0.628 [0.11 - 13.4]; 0.664 (1.98)"
"61","Se","Dewey-Humboldt",53,0.16,11.7,1.6,2.13,1.97,1.52,2.4,"53: 2.13 (1.97); 1.6 [0.16 - 11.7]; 1.52 (2.4)"
"62","Se","Globe/Miami",123,0.16,7.43,1.21,1.84,1.58,1.29,2.42,"123: 1.84 (1.58); 1.21 [0.16 - 7.43]; 1.29 (2.42)"
"63","Se","Hayden/Winkelman",88,0.25,8.96,1.6,2.02,1.59,1.54,2.1,"88: 2.02 (1.59); 1.6 [0.25 - 8.96]; 1.54 (2.1)"
"64","Se","Tucson",307,0.16,12.6,1.6,1.92,1.78,1.34,2.43,"307: 1.92 (1.78); 1.6 [0.16 - 12.6]; 1.34 (2.43)"
"65","Sn","Dewey-Humboldt",53,0.011,2.47,0.0546,0.177,0.376,0.0708,3.46,"53: 0.177 (0.376); 0.0546 [0.011 - 2.47]; 0.0708 (3.46)"
"66","Sn","Globe/Miami",123,0.00092,80.7,0.0878,1.09,7.47,0.0948,4.4,"123: 1.09 (7.47); 0.0878 [0.00092 - 80.7]; 0.0948 (4.4)"
"67","Sn","Hayden/Winkelman",88,0.00196,6.35,0.0708,0.234,0.751,0.0676,4.03,"88: 0.234 (0.751); 0.0708 [0.00196 - 6.35]; 0.0676 (4.03)"
"68","Sn","Tucson",307,0.011,3.21,0.106,0.211,0.334,0.111,2.94,"307: 0.211 (0.334); 0.106 [0.011 - 3.21]; 0.111 (2.94)"
"69","V","Dewey-Humboldt",53,0.145,9.73,1.97,2.76,2.45,1.88,2.52,"53: 2.76 (2.45); 1.97 [0.145 - 9.73]; 1.88 (2.52)"
"70","V","Globe/Miami",123,0.176,13.2,1.4,2.01,2.09,1.36,2.37,"123: 2.01 (2.09); 1.4 [0.176 - 13.2]; 1.36 (2.37)"
"71","V","Hayden/Winkelman",88,0.173,17.5,1.4,2.29,2.5,1.6,2.25,"88: 2.29 (2.5); 1.4 [0.173 - 17.5]; 1.6 (2.25)"
"72","V","Tucson",307,0.23,29,1.84,2.83,3.29,1.95,2.32,"307: 2.83 (3.29); 1.84 [0.23 - 29]; 1.95 (2.32)"
"73","Zn","Dewey-Humboldt",53,1.4,3640,35.4,204,523,51.9,4.93,"53: 204 (523); 35.4 [1.4 - 3640]; 51.9 (4.93)"
"74","Zn","Globe/Miami",123,3.94,4170,112,324,639,104,4.74,"123: 324 (639); 112 [3.94 - 4170]; 104 (4.74)"
"75","Zn","Hayden/Winkelman",88,5.95,8450,56,265,922,69.6,4.34,"88: 265 (922); 56 [5.95 - 8450]; 69.6 (4.34)"
"76","Zn","Tucson",307,2.4,13300,105,504,1550,121,4.22,"307: 504 (1550); 105 [2.4 - 13300]; 121 (4.22)"
