"","analyte","community","season","n","min","max","median","mean","sd","gmean","gsd","sumcol"
"50","Cd","Petrified Forest","Winter",14,0.0037,0.557,0.063,0.096,0.142,0.0429,4.02,"14: 0.096 (0.142); 0.063 [0.0037 - 0.557]; 0.0429 (4.02)"
"51","Cr","Chiricahua","Monsoon",24,0.12,5.25,0.14,0.548,1.05,0.277,2.76,"24: 0.548 (1.05); 0.14 [0.12 - 5.25]; 0.277 (2.76)"
"52","Cr","Chiricahua","Winter",19,0.099,0.85,0.142,0.325,0.325,0.215,2.42,"19: 0.325 (0.325); 0.142 [0.099 - 0.85]; 0.215 (2.42)"
"53","Cr","Grand Canyon","Monsoon",16,0.116,2.58,0.321,0.557,0.613,0.38,2.35,"16: 0.557 (0.613); 0.321 [0.116 - 2.58]; 0.38 (2.35)"
"54","Cr","Grand Canyon","Winter",20,0.111,7.28,0.33,0.744,1.56,0.378,2.63,"20: 0.744 (1.56); 0.33 [0.111 - 7.28]; 0.378 (2.63)"
"55","Cr","Oliver Knoll","Monsoon",16,0.12,0.912,0.14,0.329,0.325,0.223,2.34,"16: 0.329 (0.325); 0.14 [0.12 - 0.912]; 0.223 (2.34)"
"56","Cr","Oliver Knoll","Winter",16,0.099,0.979,0.253,0.452,0.338,0.335,2.29,"16: 0.452 (0.338); 0.253 [0.099 - 0.979]; 0.335 (2.29)"
"57","Cr","Organ Pipe","Monsoon",12,0.14,1.22,0.306,0.453,0.341,0.362,1.97,"12: 0.453 (0.341); 0.306 [0.14 - 1.22]; 0.362 (1.97)"
"58","Cr","Organ Pipe","Winter",13,0.101,0.85,0.285,0.427,0.312,0.326,2.19,"13: 0.427 (0.312); 0.285 [0.101 - 0.85]; 0.326 (2.19)"
"59","Cr","Petrified Forest","Monsoon",12,0.111,0.754,0.187,0.25,0.184,0.21,1.78,"12: 0.25 (0.184); 0.187 [0.111 - 0.754]; 0.21 (1.78)"
"60","Cr","Petrified Forest","Winter",14,0.099,0.962,0.161,0.354,0.35,0.228,2.59,"14: 0.354 (0.35); 0.161 [0.099 - 0.962]; 0.228 (2.59)"
"61","Cu","Chiricahua","Monsoon",24,0.936,9.43,3.1,3.47,1.79,3.09,1.65,"24: 3.47 (1.79); 3.1 [0.936 - 9.43]; 3.09 (1.65)"
"62","Cu","Chiricahua","Winter",19,0.534,64.9,2.13,5.32,14.5,1.95,3,"19: 5.32 (14.5); 2.13 [0.534 - 64.9]; 1.95 (3)"
"63","Cu","Grand Canyon","Monsoon",16,1.1,8.66,3.1,3.21,1.96,2.78,1.72,"16: 3.21 (1.96); 3.1 [1.1 - 8.66]; 2.78 (1.72)"
