,mlod.name,sample.name,site,community,type,samplings,period,season,year,ssnyear,EC,Be,Al,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Mo,Ag,Cd,Sn,Sb,Ba,Pb,pollution_index,pollution_index_selected_analytes,pli_contaminants
26,IW.2.6.DM,G428IWA24-20190910,G428,Globe/Miami,A,Last Monsoon,Last,Monsoon,Water Year 2,Monsoon Water Year 2,114.5,24.92333564,101.6126271,4.295252541,7.500100327,29.01659153,16.5241481,130.5603376,53.75362144,67.62013461,29.00762371,6.852095482,0.342910402,4.698070275,0.331045613,136.4089712,0.841885697,1.349140419,6.113207239,31.0132263,10.96739068,19.48479307,28.55644549
27,IW.1.3.DM,G416IWA13-20180619,G416,Globe/Miami,A,First Monsoon,First,Monsoon,Water Year 1,Monsoon Water Year 1,76.2,3.332240845,8.742277313,4.916747307,1.353012277,21.55315527,3.215301756,33.27908371,9.250354823,37.16302143,17.97097134,4.081626606,0.089442463,4.334164048,1.249405092,20.73878288,0.423501348,0.871145078,15.9812459,30.22308041,5.014757656,6.761243981,10.71873846
28,IW.2.5.DM,T150IWA23-20190730,T150,Tucson,A,First Monsoon,First,Monsoon,Water Year 2,Monsoon Water Year 2,114.1,0.526585348,0.697781679,1.375793935,1.706288419,18.84304819,15.22214342,13.36104943,17.87747925,69.62389206,748.7769868,2.95195681,0.262897975,18.05220214,0.851566157,4.62770885,12.72736915,1.187266448,7.067699499,29.08724569,5.955147645,7.132987167,8.987947328
29,IW.1.4.DM,H221IWA13-20180619,H221,Hayden/Winkelman,A,First Monsoon,First,Monsoon,Water Year 1,Monsoon Water Year 1,26.81,1.661373121,14.55679933,0.43273345,355.7713241,35.24558111,5.104532204,50.28498517,12.85989752,96.07349034,683.4794908,50.66846821,0.745258606,46.12204761,15.92134668,131.0855568,2.688749769,12.83933236,60.3149973,28.81563304,20.17785343,29.20520981,47.77013695
30,"IW.3.4,5,6.DM",T019IWA32-20200218,T019,Tucson,A,Last Winter,Last,Winter,Water Year 3,Winter Water Year 3,98.88,0.730354158,0.864858914,0.807271713,0.434785411,3.721785799,2.887995589,3.397772295,3.996176366,70.5322621,17.65540723,2.470458209,0.182885548,13.46044155,0.570956317,2.016700875,2.131462187,2.324197527,5.9200804,28.74155686,2.759666348,3.083432675,4.010070596
31,IW.1.2.DM,T155IWA12-20180220,T155,Tucson,A,Last Winter,Last,Winter,Water Year 1,Winter Water Year 1,49.07,0.247224882,1.532972673,0.796826422,0.707591944,1.87437249,0.695525604,1.991973828,3.805744857,34.35776101,16.5873441,1.471348611,0.114417771,6.799730955,0.402901985,2.960269021,1.996559517,2.572061087,6.662875933,25.95135417,2.110694937,2.34638139,3.448819606
32,"IW.3.4,5,6.DM",T018IWA32-20200303,T018,Tucson,A,Last Winter,Last,Winter,Water Year 3,Winter Water Year 3,34.71,0.730354158,1.051649702,0.470038058,0.742524488,0.886957035,0.580005781,2.007309811,1.894504983,27.17095097,13.45597719,0.759286256,0.182885548,8.999523651,0.922838331,1.344655024,5.826864983,2.266998245,1.247896496,24.76613533,1.851775301,1.722234206,2.331303528
33,IW.1.2.DM,T112IWA11-20180116,T112,Tucson,A,First Winter,First,Winter,Water Year 1,Winter Water Year 1,139.4,0.213993768,2.830163453,1.250450453,1.633512286,12.44804682,11.17413627,10.31259676,7.853857089,57.06701206,33.3688815,2.50194081,0.162653834,18.80045877,0.31001448,2.51383454,3.679586621,18.6507795,10.00916981,24.40069286,4.506866518,4.6782945,5.865873935
34,IW.2.2.DM,T107IWA21-20181211,T107,Tucson,A,First Winter,First,Winter,Water Year 2,Winter Water Year 2,62.03,0.076687187,0.568765262,1.713773682,24.39040112,0.930375504,3.496881326,1.326221754,1.249346113,4.969318466,9.159450498,1.273563801,0.207003579,3.546245735,0.346040032,0.197163493,6.271578612,0.471131427,2.098397381,22.93892296,1.548503671,1.611030472,1.809327895
35,IW.1.2.DM,T137IWA12-20180227,T137,Tucson,A,Last Winter,Last,Winter,Water Year 1,Winter Water Year 1,63.69,0.219471424,1.179299833,0.382073793,0.487184227,7.490395437,3.357294872,9.472525671,7.611489714,18.74448299,32.04998535,1.483200884,0.033045132,4.583582923,0.242636961,2.994068477,1.703495096,2.732219079,7.134551097,22.46977383,2.281316887,2.664448452,3.888658786
36,IW.1.2.DM,T110IWA12-20180227,T110,Tucson,A,Last Winter,Last,Winter,Water Year 1,Winter Water Year 1,433.9,0.629200107,3.193205109,5.756100982,1.092473721,1.401167928,2.186693994,6.938680434,10.01208086,33.60969156,16.95145653,5.094625587,0.063369842,17.80278327,0.324619434,4.729107218,0.442015576,2.057267541,7.316536003,20.12155901,3.070747472,3.415945359,5.111434992
37,IW.3.1.DM,T117IWA31-20191203,T117,Tucson,A,First Winter,First,Winter,Water Year 3,Winter Water Year 3,957.4,0.766871866,4.899110528,2.074882285,0.997656816,18.47413309,2.399683668,16.58842191,11.25565632,5.426175164,43.86341091,4.666832598,0.282215261,27.37474368,5.769930309,11.84952595,0.27715521,0.910612583,18.32105183,19.67216353,4.568660251,5.284089868,7.409810394
38,IW.1.7.DM,H210IWA14-20180925,H210,Hayden/Winkelman,A,Last Monsoon,Last,Monsoon,Water Year 1,Monsoon Water Year 1,NA,0.274065398,2.129454019,1.006478318,0.221031512,2.718620507,6.035910781,3.290420412,1.274159916,42.98727641,4.07967751,14.71533803,0.154766895,14.51944956,0.123168441,27.05646453,0.554496492,1.702441323,36.54925421,19.40302009,2.656794514,3.653568938,4.652844674
39,IW.2.4.DM,H209IWA23-20190709,H209,Hayden/Winkelman,A,First Monsoon,First,Monsoon,Water Year 2,Monsoon Water Year 2,NA,7.173903716,10.2822766,34.51422313,9.036716391,111.5826288,8.218754114,154.7911912,96.13905886,465.4060628,9.369826569,40.76070853,1.179611782,124.7912139,1.432064377,84.35780893,3.648884634,5.527357368,43.37925914,19.21536044,21.25645745,23.97880638,34.7551672
40,IW.2.1.DM,T169IWA21-20181211,T169,Tucson,A,First Winter,First,Winter,Water Year 2,Winter Water Year 2,82.69,0.136430157,0.465903459,2.273342799,28.25793275,0.180484618,0.191377841,1.828390006,3.006509584,5.1937393,5.098383179,0.747619175,0.02635838,8.533396574,0.08172932,2.078384882,3.909386342,0.924149747,4.337925914,18.23755489,1.30939012,1.237749881,2.081184868
41,IW.1.3.DM,H210IWA13-20180619,H210,Hayden/Winkelman,A,First Monsoon,First,Monsoon,Water Year 1,Monsoon Water Year 1,110.4,0.206690227,3.286893279,3.505140948,1.85932623,8.514844292,4.409006599,15.35302326,8.863721153,118.5690073,36.53261396,26.31575049,0.280386405,16.1958715,0.784772837,74.27430456,1.108992984,6.286201188,19.36467955,16.2770054,6.29125425,7.66362168,10.88598499
42,IW.2.4.DM,T102IWA23-20190716,T102,Tucson,A,First Monsoon,First,Monsoon,Water Year 2,Monsoon Water Year 2,156.1,1.173131366,5.582253431,3.60959385,3.412160975,29.3429395,10.53637057,18.79509951,20.1886253,2.880067369,3.505998145,4.064959347,0.548656643,12.43005538,0.467358513,1.18298096,3.335352222,0.580763385,10.61826215,16.20046001,4.122665536,4.757240866,5.385656498
43,IW.2.6.DM,T164IWA24-20190910,T164,Tucson,A,Last Monsoon,Last,Monsoon,Water Year 2,Monsoon Water Year 2,82.54,0.292141663,0.252177323,3.628246154,1.463424067,0.928247148,0.934507239,2.119773689,5.632156149,6.387978738,96.36842352,3.53160705,0.342910402,31.34909034,0.331045613,4.174232816,4.096389353,15.56011158,9.604346245,15.52389759,3.010670076,2.596977853,3.425758273
44,IW.1.4.DM,G410IWA13-20180619,G410,Globe/Miami,A,First Monsoon,First,Monsoon,Water Year 1,Monsoon Water Year 1,142.3,2.800908195,4.723445211,1.081833626,1.631225036,42.46780364,6.909529447,42.77035336,15.69040222,67.45983401,15.32508767,7.148402314,0.203460172,10.85585429,1.670222486,21.64291832,1.108062621,2.162132893,22.44356704,14.44732381,6.404899489,8.407315847,12.00408038
45,IW.1.2.DM,T152IWA12-20180220,T152,Tucson,A,Last Winter,Last,Winter,Water Year 1,Winter Water Year 1,46.69,0.098323929,1.459973974,0.777428026,0.515255021,1.823291937,0.799252779,2.252685544,3.133463923,22.91764183,27.76964144,1.301898142,0.106233642,4.837090631,0.205637746,3.010968205,1.881194475,1.421592844,4.761319368,13.75594616,1.71195439,1.949186752,2.753737909
46,IW.1.7.DM,G410IWA14-20180925,G410,Globe/Miami,A,Last Monsoon,Last,Monsoon,Water Year 1,Monsoon Water Year 1,NA,0.694019039,0.811378584,0.49271926,0.330819507,2.507203777,0.815618088,2.523621248,2.743079329,20.11505308,10.20323947,1.443199462,0.028575867,2.085305344,0.206806142,4.765723296,2.262643404,0.468843455,8.965542087,13.68186998,1.522490554,1.930441625,3.061995797
47,IW.1.4.DM,T149IWA13-20180717,T149,Tucson,A,First Monsoon,First,Monsoon,Water Year 1,Monsoon Water Year 1,NA,0.202125513,1.474417567,0.801302975,1.317248006,4.321982289,0.682529624,4.323043286,2.325572672,6.828805376,98.87675361,0.629652017,0.021717659,3.447704835,0.198822101,2.437785764,8.681219408,0.917095169,5.088149403,13.58063254,1.810604372,1.899419471,3.130097815
48,IW.1.2.DM,H217IWA12-20180220,H217,Hayden/Winkelman,A,Last Winter,Last,Winter,Water Year 1,Winter Water Year 1,68.98,0.213993768,1.571423859,0.703341075,0.313977031,4.68805958,1.111878302,10.58182846,2.960344369,189.3150035,8.576870607,21.44520694,0.30759063,36.73817356,0.289762278,100.215387,0.340605983,4.154574579,22.78153901,13.50161795,3.693073206,4.694536597,6.855851065
49,IW.3.3.DM,T038IWA31-20191217,T038,Tucson,A,First Winter,First,Winter,Water Year 3,Winter Water Year 3,25.05,0.328659371,0.695049107,1.044529018,0.116441813,0.451069655,0.531872521,0.911979806,1.097289438,20.37687739,6.83964974,2.037109468,0.089156704,4.595849425,0.105155665,0.782457406,1.673723472,1.651724625,1.829134001,13.2300053,1.079414211,1.097614711,1.472894297
50,IW.2.5.DM,T163IWA23-20190730,T163,Tucson,A,First Monsoon,First,Monsoon,Water Year 2,Monsoon Water Year 2,87.84,0.334867381,0.707736047,2.326315342,1.162754672,8.964636934,2.076709495,4.965450586,3.684561169,4.07965016,1.144931312,3.435307329,0.262897975,21.78121876,0.192785387,0.704155333,1.873751569,1.444472557,8.401017481,13.01024597,2.045743491,1.956059758,2.334828357
51,IW.1.2.DM,T117IWA11-20180116,T117,Tucson,A,First Winter,First,Winter,Water Year 1,Winter Water Year 1,849.1,0.177859496,2.223142188,6.164959483,1.449700568,5.816088444,0.564603138,8.279726972,12.2222405,21.57111682,25.59305824,7.429893804,0.326336399,28.80583558,0.242442229,9.269500807,0.993627942,2.798951575,13.18833469,12.95839265,3.650432565,3.903073926,5.830640969
52,IW.3.1.DM,G428IWA31-20191203,G428,Globe/Miami,A,First Winter,First,Winter,Water Year 3,Winter Water Year 3,142.6,30.34621526,92.84887962,1.627226992,4.78451091,39.06243349,6.803636275,189.3141936,71.35410941,44.24296441,34.04046665,2.761209287,0.113160433,3.845548384,0.831119222,159.0264405,1.707216549,1.063144004,6.911712437,12.59541938,9.382068093,14.82134602,24.77994499
53,IW.1.3.DM,T146IWA13-20180717,T146,Tucson,A,First Monsoon,First,Monsoon,Water Year 1,Monsoon Water Year 1,75.59,0.234443685,0.705393843,1.449657059,0.728385125,16.54442334,12.99357349,5.425530084,8.33859184,28.26633837,11.93479636,1.722283459,0.097375124,10.01355448,0.785162302,0.733448195,0.550402894,0.579238071,8.37130566,12.26701499,2.410091167,2.875789892,3.410976755
54,IW.1.7.DM,H216IWA13-20180619,H216,Hayden/Winkelman,A,First Monsoon,First,Monsoon,Water Year 1,Monsoon Water Year 1,133.7,0.259093138,1.433624177,3.611086034,2.071832538,2.379502396,1.282270042,5.853233618,5.949541998,37.21645496,5.937460049,33.39007609,0.183685672,18.64917191,0.113801798,17.95877762,0.883938116,1.965748688,11.06393947,12.14849311,3.182162473,3.883520221,5.668177243
55,"IW.3.4,5,6.DM",T183IWA32-20200225,T183,Tucson,A,Last Winter,Last,Winter,Water Year 3,Winter Water Year 3,63.69,0.730354158,1.238830858,1.376540027,0.176742037,0.661635043,1.196833505,1.197740294,1.675508748,8.490588218,30.83627725,0.759286256,0.182885548,7.490743902,0.389465428,2.585376722,1.783506334,1.394327852,1.603324159,11.72378969,1.556657269,1.577578339,1.967749956
56,IW.1.2.DM,T112IWA12-20180220,T112,Tucson,A,Last Winter,Last,Winter,Water Year 1,Winter Water Year 1,107.7,0.072305062,1.998680949,0.763998368,0.951911819,5.557847874,9.251212537,3.648260022,4.293364933,21.97186831,28.70824237,1.631909875,0.128019883,10.01764332,0.170176919,1.761514982,1.394614499,15.99291949,8.475297035,11.6052678,2.59423658,2.813871622,3.34438543
57,IW.2.2.DM,T161IWA21-20181211,T161,Tucson,A,First Winter,First,Winter,Water Year 2,Winter Water Year 2,73.94,0.076687187,1.701025827,0.423183471,1.030510042,1.025016417,2.464422903,1.459644808,1.989432205,6.313171793,7.766922732,0.367050088,0.230664397,8.014114655,0.332603475,1.33479685,2.506398573,0.556739687,3.364863766,11.48427671,1.357426554,1.466157967,1.654610708
58,IW.2.2.DM,T113IWA21-20181211,T113,Tucson,A,First Winter,First,Winter,Water Year 2,Winter Water Year 2,2657,0.076687187,0.514699381,20.17433189,4.04635299,1.355621103,1.090940334,25.28733243,29.3149111,12.38322102,39.94717942,17.78581757,0.430695465,71.75903683,0.334940268,3.329246416,1.142486061,2.566341158,27.01918752,11.31637071,4.272194249,3.726330211,5.069573953
59,IW.3.1.DM,T019IWA31-20191203,T019,Tucson,A,First Winter,First,Winter,Water Year 3,Winter Water Year 3,96.12,0.766871866,0.946836063,0.913216799,0.784942577,1.387830229,2.186693994,1.772158068,3.952896478,35.61344901,14.25702454,1.800249194,0.113160433,18.70232675,1.009689121,1.523228817,1.858865757,1.644288718,5.667529919,11.25957898,2.281893575,2.355560973,3.12525755
60,"IW.3.4,5,6.DM",T106IWA32-20200218,T106,Tucson,A,Last Winter,Last,Winter,Water Year 3,Winter Water Year 3,26.32,0.730354158,0.715543394,1.57798491,0.516918476,0.48271122,0.758339508,1.133840364,2.114078284,34.91881309,9.733939001,2.985291329,0.182885548,9.837734622,0.900638801,1.573364677,7.226131298,0.954465367,6.131777127,11.24970215,1.986359985,1.900181011,2.555530412
61,IW.3.1.DM,T008IWA31-20191203,T008,Tucson,A,First Winter,First,Winter,Water Year 3,Winter Water Year 3,72.33,0.766871866,0.722765191,1.3981767,0.348493711,0.746627407,0.599259085,1.714222131,2.544568908,16.74874057,3.274584467,1.298749881,0.113160433,16.11818366,1.953169119,1.569421407,1.262502919,1.146654957,6.982278013,11.21513327,1.699581441,1.513064668,2.083547797
62,IW.1.2.DM,H215IWA12-20180220,H215,Hayden/Winkelman,A,Last Winter,Last,Winter,Water Year 1,Winter Water Year 1,NA,0.147495022,7.001238831,1.794351635,1.784886643,2.86051093,10.91421666,7.998567278,2.34980941,18.90478358,79.31987034,8.918835633,0.307133416,11.13798384,0.084650311,37.51739616,3.011585813,2.377583525,45.75620485,11.08179615,4.286627629,5.902965825,7.303121605
63,IW.3.3.DM,T040IWA31-20191217,T040,Tucson,A,First Winter,First,Winter,Water Year 3,Winter Water Year 3,32.56,0.328659371,1.24956596,1.044529018,0.314392894,0.980604714,1.187688186,1.445331224,2.357888322,28.58693956,4.826512563,2.037109468,0.089156704,6.251827198,0.105155665,0.71823844,1.041076467,0.763038434,1.595896203,11.07191933,1.266411157,1.438330572,1.884558875
64,IW.1.1.DM,G419IWA11-20171219,G419,Globe/Miami,A,First Winter,First,Winter,Water Year 1,Winter Water Year 1,267.9,9.213417701,29.23851622,9.840955535,6.08616403,86.80856087,9.710885168,134.4113734,44.26089925,88.51264558,117.2442029,7.105808207,0.498363117,22.40681036,0.212063925,30.13784826,6.330191497,2.787511719,13.28861209,10.87685206,12.79825774,16.98518155,24.62999625
65,IW.1.2.DM,T117IWA12-20180227,T117,Tucson,A,Last Winter,Last,Winter,Water Year 1,Winter Water Year 1,335.9,0.258910549,1.63290672,3.369352176,0.902008185,1.682820418,0.87073067,4.628058954,7.819233178,17.58497535,15.18753408,3.290857749,0.091282749,11.9025958,0.215179649,3.968619458,1.061544459,2.038201113,6.466035117,10.6027702,2.312066047,2.415645277,3.569856646
66,"IW.3.4,5,6.DM",G428IWA32-20200225,G428,Globe/Miami,A,Last Winter,Last,Winter,Water Year 3,Winter Water Year 3,133.7,30.82094546,86.17359754,1.707804945,4.031797764,41.3468693,4.387346632,190.6773921,71.70034852,42.82697581,34.08901497,1.931550159,0.182885548,3.184792809,0.629960329,163.5330346,0.940597237,2.404276523,9.333225876,10.59536258,9.114114439,14.41618651,23.89148087
67,IW.2.3.DM,G428IWA22-20190219,G428,Globe/Miami,A,Last Winter,Last,Winter,Water Year 2,Winter Water Year 2,136,10.91879466,28.41874474,2.09726505,1.704001169,14.4870122,2.78450908,74.4647188,29.4591774,60.96765989,28.17421081,1.780063291,0.065633051,7.609320088,0.32364577,225.5268701,1.309021081,1.412822287,11.61360816,10.44721023,6.456484793,9.21407503,16.10309008
